Team,Opponent,won/lost,bat/bowl
Australia,South Africa,0,1
Australia,South Africa,0,0
Australia,South Africa,0,0
Australia,new Zealand,1,1
Australia,new Zealand,1,1
Australia,new Zealand,1,1
Australia,Pakistan,1,0
Australia,Pakistan,1,1
Australia,Srilanka,1,0
Australia,Srilanka,1,1
